,joshgroban
2542,1472765545548288003
2543,1472660309542203397
2544,2898557366
2545,1429981166665404421
2546,1267318842549841920
2547,1471715452737007620
2548,1445549087168761865
2549,1071809282553847810
2550,1045953529
2551,32119267
2552,1472709983183806464
2553,271875215
2554,1417481296251609088
2555,139724069
2556,746001186147471360
2557,320157164
2558,2219826817
2559,1260370455728459777
2560,444106596
2561,1291396780127588354
2562,157469303
2563,1472409578457509888
2564,1471237585418739715
2565,805412754823725056
2566,263357857
2567,1445173753177153551
2568,1455857860533964800
2569,1471937433096921089
2570,422972426
2571,1236348654077820938
2572,21652684
2573,116547532
2574,28793721
2575,1195702534628880384
2576,458176559
2577,24332864
2578,30222339
2579,247439262
2580,1357375245188026370
2581,47848825
2582,3241932590
2583,1295412898987204610
2584,14793761
2585,545605185
2586,867211508
2587,991891074
2588,2989081255
2589,34816838
2590,113231643
2591,888180459225698305
2592,818138563
2593,54578049
2594,1239688808876163073
2595,3253542961
2596,25016730
2597,106292644
2598,2168416922
2599,1424580622434115585
2600,2885382942
2601,1375782106694094848
2602,746254281280466944
2603,1418895458806734855
2604,1472492947962740739
2605,1327735270809153542
2606,3158541811
2607,918479422398836736
2608,1470385964887511043
2609,19878039
2610,1466870838750330881
2611,1470110308912058370
2612,1410680511434047488
2613,1410454308844355590
2614,1427264360590811142
2615,1472294124476903431
2616,785892312303927296
2617,109529499
2618,1471505018855432197
2619,836765727109558272
2620,86131433
2621,1271558424468361230
2622,17200146
2623,848552792
2624,1460500344346415104
2625,14707216
2626,839812425880788992
2627,1289260039048314881
2628,1163880989573038080
2629,1203692078527590400
2630,18298284
2631,2598262352
2632,1471991421347540992
2633,1471630574968348682
2634,1461862094689734656
2635,3686900488
2636,18195036
2637,1469380204376305667
2638,14855527
2639,1471896284827160579
2640,1418639511651852295
2641,2173632765
2642,1469333716703059968
2643,897414024949899264
2644,1445360812659331074
2645,1466372378032754689
2646,1446104942914113536
2647,137579617
2648,1471654102702690304
2649,1471635337675898882
2650,1550863812
2651,1153280213201145857
2652,794266255
2653,945898864523005953
2654,830538510
2655,2296539988
2656,1314078219876724736
2657,1273698608207052800
2658,1026842074295881728
2659,2448274540
