,AndreaBocelli
1454,2961662193
1455,1496407352089751555
1456,1327064085586972680
1457,1477683856287617024
1458,289542064
1459,1232176152078422016
1460,1411355992537939971
1461,2214349790
1462,67910703
1463,1487535798073315333
1464,1310225734384918528
1465,1408563450717016075
1466,1497815762354032642
1467,2198453942
1468,112298496
1469,1503064037009108997
1470,1499023086343106560
1471,1484507031826538500
1472,2956766657
1473,63338679
1474,1502794517426098186
1475,1502949351538270210
1476,722632814
1477,1437110984926244872
1478,1502273688573558787
1479,1502361628733587462
1480,1467060507374927874
1481,1496722750051737602
1482,288997338
1483,16397428
1484,1501678436162625541
1485,1452466260160102407
1486,1502019726079373312
1487,1502228780114399236
